Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"New York, NY, United States",04/01/2019,9.2,1.1,5.4,-1.9,,0.49,0,0,15,276.29,75.1,16,1.5,39.87,Rain
"New York, NY, United States",04/02/2019,9.8,3.7,6.6,2.2,,0,0,0,18.4,101.04,35.3,16,34.2,44.59,Partially cloudy
"New York, NY, United States",04/03/2019,19.4,5.2,11.8,1.5,,0,0,0,33.5,257.33,60.7,16,22.5,42.82,Clear
"New York, NY, United States",04/04/2019,16.1,7.8,11.1,6.1,,0.76,0,0,16.5,282.04,62.5,16,1.2,29.49,Rain
"New York, NY, United States",04/05/2019,8.3,3.9,5.2,0,,1.99,0,0,22.1,56.04,31.7,15.5,38.5,57.18,"Rain, Partially cloudy"
"New York, NY, United States",04/06/2019,19.3,4.2,10.9,1.2,,1,0,0,19.8,203.08,25.9,14.1,28.7,70.82,"Rain, Partially cloudy"
"New York, NY, United States",04/07/2019,16.8,10.1,13.5,,,0.29,0,0,17.7,124.21,53.6,16,6.4,58,Rain
"New York, NY, United States",04/08/2019,25,11.1,16.3,,,6.68,0,0,27.2,196.25,83,15.4,31.5,72.68,"Rain, Partially cloudy"
"New York, NY, United States",04/09/2019,10,7.8,8.5,5,,3.17,0,0,25.3,67.5,27.7,13,42.4,88.48,"Rain, Partially cloudy"
"New York, NY, United States",04/10/2019,16.6,7.8,11.5,6,,0.49,0,0,21.9,237.33,70.1,15.4,13.9,53.43,Rain
"New York, NY, United States",04/11/2019,10.7,5,7.5,1.1,,1.22,0,0,21.7,125.33,61,15.8,37,46.43,"Rain, Partially cloudy"
"New York, NY, United States",04/12/2019,18.4,7.7,12.3,5.7,,7.32,0,0,20.4,102.96,73.6,15.4,39.3,66.93,"Rain, Partially cloudy"
"New York, NY, United States",04/13/2019,22.9,15,18.3,,,7.46,0,0,14.4,230.46,29.5,15.1,29.2,78.54,"Rain, Partially cloudy"
"New York, NY, United States",04/14/2019,20.7,14.5,17,,,0.01,0,0,16,148,35.3,13.3,39.3,85.09,"Rain, Partially cloudy"
"New York, NY, United States",04/15/2019,17.1,8.8,13.3,7.5,,21.34,0,0,44.3,231.71,75.6,14.3,36.3,73.84,"Rain, Partially cloudy"
"New York, NY, United States",04/16/2019,18.8,7.2,12.4,5.3,,0.73,0,0,16.8,303.33,76.8,16,15.9,35.38,Rain
"New York, NY, United States",04/17/2019,15.7,9.3,11.9,7.7,,0.26,0,0,18.5,166.54,66.6,16,36.6,50.21,"Rain, Partially cloudy"
"New York, NY, United States",04/18/2019,16.2,10.7,13.1,,,0.49,0,0,20.5,81.08,58.3,15.9,40.3,69.53,"Rain, Partially cloudy"
"New York, NY, United States",04/19/2019,23.9,16.1,18.6,,,0.27,0,0,18.4,209.88,48.1,15.9,22.4,77.26,Rain
"New York, NY, United States",04/20/2019,17.8,12.8,15.4,,,14.92,0,0,24.1,148.83,71.4,14.4,35,89.25,"Rain, Partially cloudy"
"New York, NY, United States",04/21/2019,18.8,11.7,14.2,,,0,0,0,14.8,100.75,60.8,16,31,74.9,Partially cloudy
"New York, NY, United States",04/22/2019,17.9,11.7,14.2,,,4.59,0,0,16.1,159.13,66.6,15.3,23.6,79.51,Rain
"New York, NY, United States",04/23/2019,22.9,13.3,17.4,,,0.73,0,0,13.1,213.92,76,15.6,13.5,65.3,Rain
"New York, NY, United States",04/24/2019,21.6,16.1,18.9,,,1.12,0,0,16.2,269.79,70.2,16,10.4,47.62,Rain
"New York, NY, United States",04/25/2019,16.2,10.6,12.9,,,0.98,0,0,18,115,88.9,16,15.4,64.04,Rain
"New York, NY, United States",04/26/2019,15,11.7,13.1,,,19.28,0,0,27.2,75.04,68.4,14.5,43.2,88.56,"Rain, Partially cloudy"
"New York, NY, United States",04/27/2019,16.5,10.6,12.8,,,3.75,0,0,36,261.21,86.1,16,25.7,52.53,"Rain, Partially cloudy"
"New York, NY, United States",04/28/2019,13.2,8.8,10.7,7.8,,0.26,0,0,20.2,186.38,36.6,16,33.4,64.43,"Rain, Partially cloudy"
"New York, NY, United States",04/29/2019,14.4,6.7,10.3,4.8,,0.24,0,0,21.6,185.67,66.6,16,8.9,51.59,Rain
"New York, NY, United States",04/30/2019,16,9.3,12.2,7.7,,1.13,0,0,20.1,70.29,,14.1,41.8,83.52,"Rain, Partially cloudy"
